timestamp,close,high,low,trade_count,open,volume,vwap,symbol,Short_MA,Long_MA,pnl,holdings
2023-01-01 05:00:00+00:00,16522.29,16526.71,16503.55,1449,16513.7,76.899934,16513.613614,BTC/USD,,,0.0,0
2023-01-01 06:00:00+00:00,16532.36,16543.2,16522.29,1309,16525.0,52.083997,16533.304466,BTC/USD,,,0.0,0
2023-01-01 07:00:00+00:00,16517.74,16537.4,16495.06,2739,16532.9,194.189437,16515.328375,BTC/USD,,,0.0,0
2023-01-01 08:00:00+00:00,16507.21,16526.38,16502.57,1260,16520.42,69.986819,16513.403366,BTC/USD,,,0.0,0
2023-01-01 09:00:00+00:00,16533.27,16535.73,16501.05,880,16508.32,48.429349,16518.245031,BTC/USD,,,0.0,0
2023-01-01 10:00:00+00:00,16542.96,16543.13,16527.77,643,16530.91,33.626255,16534.089616,BTC/USD,,,0.0,0
2023-01-01 11:00:00+00:00,16550.13,16550.3,16536.21,655,16543.17,34.101483,16542.557947,BTC/USD,,,0.0,0
2023-01-01 12:00:00+00:00,16555.59,16566.53,16544.8,871,16549.36,39.969109,16555.219177,BTC/USD,,,0.0,0
2023-01-01 13:00:00+00:00,16541.83,16562.47,16534.42,1050,16557.14,44.486947,16544.679365,BTC/USD,,,0.0,0
2023-01-01 14:00:00+00:00,16538.57,16555.0,16536.28,553,16543.74,24.927884,16545.01938,BTC/USD,,,0.0,0
2023-01-01 15:00:00+00:00,16551.5,16553.81,16529.24,829,16538.15,34.913011577,16540.906483,BTC/USD,,,0.0,0
2023-01-01 16:00:00+00:00,16559.0,16575.0,16549.86,1313,16551.5,64.958671,16563.08384,BTC/USD,16537.704166666666,,0.0,0
2023-01-01 17:00:00+00:00,16574.08,16589.94,16558.0,1534,16560.35,56.69681,16574.829027,BTC/USD,16542.02,,0.0,0
2023-01-01 18:00:00+00:00,16586.75,16597.49,16572.95,1594,16574.07,58.564522,16587.070786,BTC/USD,16546.5525,,0.0,0
2023-01-01 19:00:00+00:00,16596.74,16617.0,16586.14,1873,16586.81,68.288647,16603.71802,BTC/USD,16553.135833333334,,0.0,0
2023-01-01 20:00:00+00:00,16600.03,16621.69,16594.96,1649,16597.04,69.463897,16605.770402,BTC/USD,16560.870833333334,,0.0,0
2023-01-01 21:00:00+00:00,16602.0,16605.0,16588.03,1273,16599.77,43.971602,16595.023672,BTC/USD,16566.598333333335,,0.0,0
2023-01-01 22:00:00+00:00,16597.07,16607.6,16584.74,1297,16602.0,62.891315,16595.056171,BTC/USD,16571.107500000002,,0.0,0
2023-01-01 23:00:00+00:00,16610.74,16618.13,16595.6,1693,16597.06,87.586753,16607.646964,BTC/USD,16576.158333333336,,0.0,0
2023-01-02 00:00:00+00:00,16581.93,16620.75,16575.93,1830,16611.59,82.368324,16603.000702,BTC/USD,16578.353333333333,,0.0,0
2023-01-02 01:00:00+00:00,16560.26,16583.27,16545.39,2093,16581.9,83.423673,16560.895971,BTC/USD,16579.889166666668,,0.0,0
2023-01-02 02:00:00+00:00,16581.48,16587.27,16551.02,1113,16559.91,44.75803,16571.66388,BTC/USD,16583.465,,0.0,0
2023-01-02 03:00:00+00:00,16657.2,16695.31,16575.98,2588,16581.48,145.411907,16644.314929,BTC/USD,16592.273333333334,,0.0,0
2023-01-02 04:00:00+00:00,16633.31,16667.41,16623.12,2248,16655.2,105.35183526,16645.728364,BTC/USD,16598.465833333332,,0.0,0
2023-01-02 05:00:00+00:00,16642.78,16653.69,16615.0,1740,16632.4,101.108779,16631.615379,BTC/USD,16604.190833333334,,0.0,0
2023-01-02 06:00:00+00:00,16634.88,16656.76,16630.47,918,16644.37,29.27365,16642.814597,BTC/USD,16608.201666666668,,0.0,0
2023-01-02 07:00:00+00:00,16716.43,16758.0,16631.75,4830,16634.4,297.150964,16717.847541,BTC/USD,16618.17583333333,,0.0,0
2023-01-02 08:00:00+00:00,16726.51,16765.0,16703.89,2725,16717.76,143.438041,16734.883251,BTC/USD,16628.715833333332,,0.0,0
2023-01-02 09:00:00+00:00,16712.07,16740.69,16706.05,1934,16728.62,98.705145,16721.977779,BTC/USD,16637.888333333332,,0.0,0
2023-01-02 10:00:00+00:00,16721.5,16754.88,16704.04,1605,16711.2,93.707915,16730.846481,BTC/USD,16648.257500000003,,0.0,0
2023-01-02 11:00:00+00:00,16730.5,16735.11,16697.84,997,16723.17,46.067922,16717.314287,BTC/USD,16658.2375,,0.0,0
2023-01-02 12:00:00+00:00,16717.49,16739.76,16714.28,809,16730.94,40.784234,16727.610079,BTC/USD,16669.534166666668,,0.0,0
2023-01-02 13:00:00+00:00,16691.83,16720.66,16682.0,1241,16717.62,90.927608,16698.629795,BTC/USD,16680.498333333333,,0.0,0
2023-01-02 14:00:00+00:00,16694.44,16706.23,16666.92,1310,16691.8,71.894056,16688.438072,BTC/USD,16689.911666666667,,0.0,0
2023-01-02 15:00:00+00:00,16727.87,16743.42,16687.1,2290,16694.18,153.236474051,16717.485414,BTC/USD,16695.80083333333,,0.0,0
2023-01-02 16:00:00+00:00,16706.74,16733.45,16704.8,1259,16730.79,73.138888,16722.390562,BTC/USD,16701.920000000002,,0.0,0
2023-01-02 17:00:00+00:00,16710.73,16719.0,16703.89,1164,16707.65,54.351879,16709.786355,BTC/USD,16707.5825,,0.0,0
2023-01-02 18:00:00+00:00,16717.72,16724.28,16702.66,1127,16712.39,59.762873,16712.12539,BTC/USD,16714.485833333332,,0.0,0
